#ID;wigosIdentifier;Kennung;Stationsname;Geraetetyp;Messnetz;von_Datum;Geog_Breite;Geog_Laenge;Stationshoehe;pressureLevel;pressureRefLevel;barometerLevel;barometerHeight;airtemp200Height;airtemp005Height;humidityHeight;watertempHeight;rainHeight;visibilityHeight;snowHeight;windHeight;sunHeight;radiationHeight;hasPyrano;cloudHeight
1639;0-20000-0-10532;10532;Gießen/Wettenberg;AMDA II;15,320;01.01.1844;50.601715;8.643898;203.2;204.27;;204.27;1.07;2;0.05;2;;1;2.5;2.1;10;;1.8;657;1.55
7396;0-20000-0-10534;10534;Hoherodskopf/Vogelsberg;AMDA II;15,320;01.03.2006;50.508396;9.224634;739.84;744.47;;744.47;4.63;2;0.05;2;;1.5;2.5;2.1;12;;;0;1.55
7410;0-20000-0-10537;10537;Neu-Ulrichstein;AMDA II;15,320;01.03.2006;50.751337;9.022428;350.01;351.58;;351.58;1.57;2;0.05;2;;1;2.5;2.3;10;;;0;1.55
7368;0-20000-0-10540;10540;Eisenach;AMDA II;15,320;20.07.2007;51.000736;10.36211;311.93;313.8;;313.8;1.87;2;0.05;2;;1;2.5;2.3;12;;;0;1.55
2171;0-20000-0-10542;10542;Hersfeld, Bad;AMDA II;15,16,320;01.05.1884;50.851957;9.737694;272.2;270.8;;270.8;;2;0.05;2;;1;2.5;2.1;12;;6;0;1.55
5371;0-20000-0-10544;10544;Wasserkuppe;AMDA II;15,16,320;01.08.1923;50.497265;9.942732;920.43;925.59;850.0;925.59;5.16;2;0.05;2;;2;2.5;2.3;10;10.48;;0;1.55
3231;0-20000-0-10548;10548;Meiningen;AMDA II;15,320,526;15.05.1965;50.561131;10.377137;450.0;451.4;;451.4;1.4;2;0.05;2;;1;2.5;2.3;12;;6;0;1.55
4501;0-20000-0-10552;10552;Schmücke;AMDA II;15,16,320;01.01.1887;50.654518;10.769601;937.6;939.14;850.0;939.14;1.54;;0.05;;;;;;24;;;0;
1270;0-20000-0-10554;10554;Erfurt-Weimar;AMDA II;15,320,526;01.04.1946;50.982681;10.961292;316.61;322;;322;5.39;2;0.05;2;;1;2.5;2.3;10;;;0;1.55
3513;0-20000-0-10557;10557;Neuhaus am Rennweg;AMDA II;15,16,320;01.12.1900;50.500253;11.13446;845.0;851;850.0;851;6;2;0.05;2;;2;2.5;2.3;12;;;0;1.55
